smiles,score,time
Cc1ccc(-c2cccc(C(=O)NC(CC(=O)O)c3ccccc3C)n2)cc1C,-9.93,8.948
CCCCN(CC(=O)Nc1c(C)cccc1CC)C(=O)SCC,-7.07,7.395
O=c1c(C=NNc2nc3c(c(N4CCOCC4)n2)CSCC3)coc2ccc(F)cc12,-10.15,5.978
CN(CCN(C)C(=O)OC(C)(C)C)C(=O)Nc1cc(F)ccc1F,-8.06,5.811
Cc1ccccc1OC(C)CNC(=O)NC(C)CS(C)(=O)=O,-8.01,5.895
CN(C)CCn1c(CC(C)(C)C)nc2cc(S(=O)(=O)C3CN(C)C3)ccc21,-8.26,7.903
CC1(C)OCC(NC(=O)Nc2ccccc2)C(c2ccccc2)O1,-8.84,5.819
Cc1ccccc1-c1ccc2cc(C(=O)NC3CN4CCC3CC4)cn2c1,-10.25,4.954
CC(=O)c1ccc2nc(-c3csc(S(N)(=O)=O)c3)sc2c1,-8.41,5.374
O=C(O)c1cc(F)c(N(CCBr)CCBr)c(F)c1F,-6.82,3.941
COc1ccc(OC)c(CNC(=O)C2CCCN(c3nccc(C)n3)C2)c1,-9.38,5.901
O=C(Cc1csc2nc(-c3ccccc3)cn12)N1CCOCC1C1CC1,-9.02,6.439
COc1ccc(C(=O)NC(CC(=O)O)c2ccccc2F)nc1-c1cccc(F)c1C,-9.63,9.545
O=C(Nc1ccc(C(F)(F)F)cc1)Nc1ccccc1N1CCNCC1,-9.47,6.8
COc1ccc(CC(=O)N(C)C(CCSC)CN2CC=CC2)cc1,-7.37,8.468
COc1cc(C)c(S(=O)(=O)NCCCn2ccnc2)cc1C,-7.71,5.441
O=C(CCCCCNc1c(Nc2ccccc2)c(=O)c1=O)NO,-8.48,7.8
Cc1c2ccnc(C(=O)NCCCN3CCOCC3)c2cc2c3cc(O)ccc3n(C)c12,-9.53,7.775
O=C1Nc2nc(-c3c(O)cccc3OCC3CC3)cc(C3CCCNC3)c2CO1,-10.19,8.699
Cc1cc(C)c(S(=O)(=O)Nc2cccc3c2OCCO3)cc1C(=O)O,-9.41,6.815
CC(NCC(C)(C)CN(C)C)=C(C#N)C(=O)NCc1ccccc1,-7.38,9.294
Cc1c(Sc2ccccc2)n(COCCSc2ccccn2)c(=O)[nH]c1=O,-7.92,7.651
CCOC(=O)C(C)Sc1ccc2nnc(CCNS(=O)(=O)c3ccc(C)cc3)n2n1,-9.43,10.863
Cc1nccn1-c1ccc(CNc2nc3ccccc3o2)cc1F,-9.77,4.433
S=C(NCCc1cccs1)Nc1ccc(Br)cn1,-6.93,5.33
O=C(O)C=Cc1cccc(-c2cncc(N3CCOCC3)n2)c1,-9.66,4.735
CCc1nc2c(c(N(C)Cc3nncn3CCOC)n1)CCNCC2,-7.26,6.211
CCN(CC)CCN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,-7.88,7.049
CCNc1nc(NC(C)C)nc(N(C#N)C(C)C(=O)N(C)C)n1,-7.07,5.728
O=C(O)CNS(=O)(=O)c1cc(Cl)c(Cl)cc1Cl,-7.46,2.899
O=C(NC(=O)c1ccccc1F)Nc1nc(-c2cccs2)cc(C(F)(F)F)n1,-9.77,5.921
O=C(C=Cc1ccco1)N(Cc1ccccc1)C1CCS(=O)(=O)C1,-8.29,6.096
CN(C)CCCNS(=O)(=O)c1cc(Cl)c(Cl)cc1Cl,-7.06,5.242
C=CCN1C(=O)C(=Cc2cccnc2)SC1=Nc1ccc(O)cc1,-8.77,5.078
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)c(Cl)c1,-8.44,4.422
COc1ccc(CNC(=O)CSc2nc3ccccc3n2C(C)=O)cc1,-9.25,7.152
CCCCNS(=O)(=O)c1ccc(S(=O)(=O)n2cnc3ccccc32)cc1,-9.04,7.184
CCC(C)NC(=O)c1ccc(S(=O)(=O)NC(C)(C)C)cc1,-7.95,4.602
CC(NC(=O)C(O)c1cc(F)cc(F)c1)C(=O)NC(CO)CC1CCCCC1,-8.84,11.343
Cc1cc(NC(=O)COC(=O)CCS(=O)(=O)c2ccc(C)c(C)c2)no1,-9.44,8.617
O=C(NC1(C(F)(F)F)N=C(O)N(Cc2ccc(F)cc2)C1=O)c1ccccc1,-9.71,8.9
CCn1nc(C)c(C(=O)Nc2ccc(C)c(C(=O)N(C)C)c2)c1Cl,-9.25,5.879
N#CCc1ccc(NC(=O)c2ccccc2C(=O)Nc2ccc(CC#N)cc2)cc1,-8.87,12.135
CC(NC(=O)c1ccccc1SC(=O)NC(C)(C)C)C(N)=O,-8.11,6.002
NN(C=S)CC1CN(c2ccc(N3CCN(c4ccccn4)CC3)c(F)c2)C(=O)O1,-9.48,11.653
CCC(C)c1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1,-9.2,5.806
N#Cc1c(-c2ccccc2C(=O)O)cc(-c2ccccc2O)nc1N,-9.14,9.83
CC1CCCCC12NC(=O)N(CC(=O)NC(=O)NCc1ccco1)C2=O,-9.18,9.271
Nc1nc(-c2ccc(Cl)cc2)c(C(=O)c2ccccc2Cl)s1,-8.77,8.02
Cn1c(SCC(=O)NCC2CCCO2)nc2c3ccccc3nc-2c1O,-8.9,7.474
Nc1nc(NO)c2cc(Sc3cccc(C(F)(F)F)c3)ccc2n1,-10.25,9.091
N=C(N)NCCCC1N=C(c2ccccc2)c2ccccc2NC1=O,-9.34,6.268
CC(C)CC1C2=C(Oc3c(C(=O)C(C)C)c(O)cc(O)c31)C(C)(C)C(=O)C(C)(C)C2=O,-9.72,6.285
O=C1NCCC(=O)c2c1[nH]c(Br)c2Br,-6.63,1.735
CCC(C)c1cc(C(O)C(F)(F)F)cc(Br)c1O,-7.92,3.583
Cc1ccccc1OCc1ccc(-c2nc(C#N)c(N3CCC(C(N)=O)CC3)o2)o1,-9.26,8.906
O=S(=O)(Nc1cccc2cccnc12)c1c(Cl)cc(Cl)cc1Cl,-8.63,4.334
CC(C(=O)Nc1ccnn1C(C)C)N1CCN(Cc2ccccc2)CC1,-8.27,8.383
CC(C)Oc1ccc(S(C)(=O)=O)cc1C(=O)N1Cc2ccc(C3CCOCC3)cc2C1,-10.0,7.362
