smiles,score,time
Cc1ccc(-c2cccc(C(=O)NC(CC(=O)O)c3ccccc3C)n2)cc1C,-10.11,6.696
CCCCN(CC(=O)Nc1c(C)cccc1CC)C(=O)SCC,-6.62,6.49
O=c1c(C=NNc2nc3c(c(N4CCOCC4)n2)CSCC3)coc2ccc(F)cc12,-10.54,4.952
CN(CCN(C)C(=O)OC(C)(C)C)C(=O)Nc1cc(F)ccc1F,-8.84,5.254
Cc1ccccc1OC(C)CNC(=O)NC(C)CS(C)(=O)=O,-8.44,5.093
CN(C)CCn1c(CC(C)(C)C)nc2cc(S(=O)(=O)C3CN(C)C3)ccc21,-7.56,9.504
CC1(C)OCC(NC(=O)Nc2ccccc2)C(c2ccccc2)O1,-9.08,6.679
Cc1ccccc1-c1ccc2cc(C(=O)NC3CN4CCC3CC4)cn2c1,-11.67,6.269
CC(=O)c1ccc2nc(-c3csc(S(N)(=O)=O)c3)sc2c1,-8.76,5.302
O=C(O)c1cc(F)c(N(CCBr)CCBr)c(F)c1F,-7.01,5.779
COc1ccc(OC)c(CNC(=O)C2CCCN(c3nccc(C)n3)C2)c1,-9.18,7.639
O=C(Cc1csc2nc(-c3ccccc3)cn12)N1CCOCC1C1CC1,-9.4,7.127
COc1ccc(C(=O)NC(CC(=O)O)c2ccccc2F)nc1-c1cccc(F)c1C,-9.54,10.845
O=C(Nc1ccc(C(F)(F)F)cc1)Nc1ccccc1N1CCNCC1,-9.26,6.227
COc1ccc(CC(=O)N(C)C(CCSC)CN2CC=CC2)cc1,-7.15,8.866
COc1cc(C)c(S(=O)(=O)NCCCn2ccnc2)cc1C,-7.72,7.911
O=C(CCCCCNc1c(Nc2ccccc2)c(=O)c1=O)NO,-8.62,8.72
Cc1c2ccnc(C(=O)NCCCN3CCOCC3)c2cc2c3cc(O)ccc3n(C)c12,-9.43,9.447
O=C1Nc2nc(-c3c(O)cccc3OCC3CC3)cc(C3CCCNC3)c2CO1,-8.45,10.047
Cc1cc(C)c(S(=O)(=O)Nc2cccc3c2OCCO3)cc1C(=O)O,-9.68,6.506
CC(NCC(C)(C)CN(C)C)=C(C#N)C(=O)NCc1ccccc1,-8.54,9.46
Cc1c(Sc2ccccc2)n(COCCSc2ccccn2)c(=O)[nH]c1=O,-8.17,9.373
CCOC(=O)C(C)Sc1ccc2nnc(CCNS(=O)(=O)c3ccc(C)cc3)n2n1,-9.32,12.622
Cc1nccn1-c1ccc(CNc2nc3ccccc3o2)cc1F,-9.96,5.884
S=C(NCCc1cccs1)Nc1ccc(Br)cn1,-7.4,6.996
O=C(O)C=Cc1cccc(-c2cncc(N3CCOCC3)n2)c1,-9.32,4.43
CCc1nc2c(c(N(C)Cc3nncn3CCOC)n1)CCNCC2,-7.27,7.292
CCN(CC)CCN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,-8.11,8.426
CCNc1nc(NC(C)C)nc(N(C#N)C(C)C(=O)N(C)C)n1,-6.04,5.957
O=C(O)CNS(=O)(=O)c1cc(Cl)c(Cl)cc1Cl,-7.12,4.753
O=C(NC(=O)c1ccccc1F)Nc1nc(-c2cccs2)cc(C(F)(F)F)n1,-10.06,6.167
O=C(C=Cc1ccco1)N(Cc1ccccc1)C1CCS(=O)(=O)C1,-8.38,6.981
CN(C)CCCNS(=O)(=O)c1cc(Cl)c(Cl)cc1Cl,-6.83,6.346
C=CCN1C(=O)C(=Cc2cccnc2)SC1=Nc1ccc(O)cc1,-8.55,6.492
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)c(Cl)c1,-8.04,5.612
COc1ccc(CNC(=O)CSc2nc3ccccc3n2C(C)=O)cc1,-9.3,7.075
CCCCNS(=O)(=O)c1ccc(S(=O)(=O)n2cnc3ccccc32)cc1,-9.24,7.603
CCC(C)NC(=O)c1ccc(S(=O)(=O)NC(C)(C)C)cc1,-8.42,5.465
CC(NC(=O)C(O)c1cc(F)cc(F)c1)C(=O)NC(CO)CC1CCCCC1,-9.69,12.464
Cc1cc(NC(=O)COC(=O)CCS(=O)(=O)c2ccc(C)c(C)c2)no1,-9.52,8.94
O=C(NC1(C(F)(F)F)N=C(O)N(Cc2ccc(F)cc2)C1=O)c1ccccc1,-10.09,9.063
CCn1nc(C)c(C(=O)Nc2ccc(C)c(C(=O)N(C)C)c2)c1Cl,-8.41,6.476
N#CCc1ccc(NC(=O)c2ccccc2C(=O)Nc2ccc(CC#N)cc2)cc1,-9.27,12.546
CC(NC(=O)c1ccccc1SC(=O)NC(C)(C)C)C(N)=O,-8.37,7.207
NN(C=S)CC1CN(c2ccc(N3CCN(c4ccccn4)CC3)c(F)c2)C(=O)O1,-10.18,14.538
CCC(C)c1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1,-9.41,8.0
N#Cc1c(-c2ccccc2C(=O)O)cc(-c2ccccc2O)nc1N,-9.24,9.219
CC1CCCCC12NC(=O)N(CC(=O)NC(=O)NCc1ccco1)C2=O,-9.51,10.364
Nc1nc(-c2ccc(Cl)cc2)c(C(=O)c2ccccc2Cl)s1,-8.31,7.382
Cn1c(SCC(=O)NCC2CCCO2)nc2c3ccccc3nc-2c1O,-9.98,10.663
Nc1nc(NO)c2cc(Sc3cccc(C(F)(F)F)c3)ccc2n1,-9.22,6.278
N=C(N)NCCCC1N=C(c2ccccc2)c2ccccc2NC1=O,-8.6,7.306
