smiles,score,time
CS(=O)(=O)CCCSCc1cc(F)cc(Br)c1,-6.92,4.574
O=C(Cc1ccsc1)NC1CCN(Cc2ccccc2)CC1,-8.91,5.381
CC1(C)Nc2c(cc(-c3ccnc4ncccc34)c3c2CCC3)C(C)(C)C1=O,-9.24,4.484
ON=Cc1nccc(CCCCCNc2c3c(nc4ccccc24)CCCC3)c1O,-9.83,11.022
COc1ccc2ccc(OC)c(C=C3NC(=O)N(Cc4ccc(Br)cc4)C3=O)c2c1,-8.87,8.434
CCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2Cc1ccc2c(c1)OCO2,-8.45,8.238
O=C(NCC1(NC(=O)C2=CCCC2)CCOCC1)C1=CCCC1,-9.01,5.817
CNS(=O)(=O)CC(=O)N(C)C(C)Cc1ccccc1OC,-7.66,6.543
CC(C)N1CCC(c2ccc(CC(C#N)NC(=O)C3NC4CCC3C4)c(F)c2)CC1,-9.85,9.916
CCc1ccc(OCC(=O)OC(C)C(=O)Nc2ccc(Cl)cn2)cc1,-9.42,8.198
NC(CC1CCCCC1)C(O)C(=O)NCc1ccc2ccccc2c1,-10.77,6.976
O=C(NCCc1ccccn1)c1cc(-c2ccco2)nc2ccccc12,-9.72,6.944
CC(=O)N(CCCP(=O)(O)O)OCCc1ccccc1,-7.58,5.802
Cc1ccc(S(=O)(=O)N2CCCC2)cc1S(=O)(=O)N1CCCC1,-8.62,5.533
CC(C)(C)C(=O)NC(=S)Nc1cc(C(=O)O)ccc1Cl,-7.91,5.005
CN(Cc1nnc2n1CCCCC2)C(=O)c1ccc(C#N)cc1,-9.05,5.758
COc1cc(-c2cnn(Cc3ccccc3)c2)ccc1-n1cnc(C)c1,-10.19,7.293
C=CCOCCC(CC(=O)NO)c1ccc(Cl)cc1Cl,-8.16,6.485
CCCN1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,-10.49,6.132
CC(SC(=S)N1CCCC1)C(=O)c1cc(Br)ccc1O,-8.03,6.226
c1ccc(C(c2ccccc2)N2CCC3(CCCNC3)C2)cc1,-7.91,5.445
COc1cccc2c1OCC(CNCC1CCN(c3ncccn3)CC1)O2,-9.83,6.512
COC(=O)c1nnc(C(=O)CCCCCCc2ccccc2)s1,-8.38,7.715
CCCN(CC(=O)OC)C(=O)C=Cc1cc(Br)ccc1F,-8.03,5.921
Cc1noc(C)c1C(=O)N(Cc1cc(=O)[nH]c2c(F)c(F)ccc12)c1cccc(Cl)c1,-9.58,9.988
O=C(CSc1nnnn1C1CCCCC1)N1CCN(C(=O)c2ccco2)CC1,-9.5,7.224
CCC(F)(F)C(Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccc(C)o1,-9.81,13.007
COc1cccc2c(=O)c3c(NCc4ccccc4)ccc(C(=O)NCCN(C)C)c3[nH]c12,-8.58,10.907
Cc1nc(-c2cnc(N)nc2C(F)(F)F)cc(C2CCCN(C(=O)c3ccccc3)C2)n1,-9.35,9.782
CNc1nc(NCc2ccccc2)nc(Oc2c(F)c(F)c(F)c(F)c2F)n1,-9.56,7.559
CN(C)C(=S)SCC(=O)Nc1ccc(Cl)cc1Cl,-7.36,4.774
Cc1ccc(-c2cc(C(=O)Nc3cccc(C4(C)NC(=O)NC4=O)c3)c3ccccc3n2)c(C)c1,-11.66,10.96
O=C(NCCCCc1ccccc1)c1ccccc1CNCCc1ccc(F)cc1,-10.41,12.757
O=C(NO)c1ccc(-c2cn(C3CC(CO)N(CCc4ccccc4)C3)nn2)cc1,-10.98,9.087
COc1ccc(S(=O)(=O)NC(CCCNC(=O)NC2CCCCC2)C(=O)NO)cc1,-9.51,13.991
