smiles,score,time
CS(=O)(=O)CCCSCc1cc(F)cc(Br)c1,-6.97,4.458
O=C(Cc1ccsc1)NC1CCN(Cc2ccccc2)CC1,-8.14,5.428
CC1(C)Nc2c(cc(-c3ccnc4ncccc34)c3c2CCC3)C(C)(C)C1=O,-10.17,4.928
ON=Cc1nccc(CCCCCNc2c3c(nc4ccccc24)CCCC3)c1O,-9.96,9.539
COc1ccc2ccc(OC)c(C=C3NC(=O)N(Cc4ccc(Br)cc4)C3=O)c2c1,-9.8,9.273
CCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2Cc1ccc2c(c1)OCO2,-9.85,6.729
O=C(NCC1(NC(=O)C2=CCCC2)CCOCC1)C1=CCCC1,-8.45,4.235
CNS(=O)(=O)CC(=O)N(C)C(C)Cc1ccccc1OC,-7.33,6.645
CC(C)N1CCC(c2ccc(CC(C#N)NC(=O)C3NC4CCC3C4)c(F)c2)CC1,-8.86,9.237
CCc1ccc(OCC(=O)OC(C)C(=O)Nc2ccc(Cl)cn2)cc1,-8.4,7.671
NC(CC1CCCCC1)C(O)C(=O)NCc1ccc2ccccc2c1,-9.82,6.212
O=C(NCCc1ccccn1)c1cc(-c2ccco2)nc2ccccc12,-9.58,5.459
CC(=O)N(CCCP(=O)(O)O)OCCc1ccccc1,-7.34,6.113
Cc1ccc(S(=O)(=O)N2CCCC2)cc1S(=O)(=O)N1CCCC1,-8.36,4.756
CC(C)(C)C(=O)NC(=S)Nc1cc(C(=O)O)ccc1Cl,-8.24,5.451
CN(Cc1nnc2n1CCCCC2)C(=O)c1ccc(C#N)cc1,-8.49,3.708
COc1cc(-c2cnn(Cc3ccccc3)c2)ccc1-n1cnc(C)c1,-9.61,7.458
C=CCOCCC(CC(=O)NO)c1ccc(Cl)cc1Cl,-7.71,5.912
CCCN1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,-9.51,5.112
CC(SC(=S)N1CCCC1)C(=O)c1cc(Br)ccc1O,-7.48,5.978
c1ccc(C(c2ccccc2)N2CCC3(CCCNC3)C2)cc1,-8.88,3.574
COc1cccc2c1OCC(CNCC1CCN(c3ncccn3)CC1)O2,-8.68,6.215
COC(=O)c1nnc(C(=O)CCCCCCc2ccccc2)s1,-7.92,7.999
CCCN(CC(=O)OC)C(=O)C=Cc1cc(Br)ccc1F,-7.94,5.653
Cc1noc(C)c1C(=O)N(Cc1cc(=O)[nH]c2c(F)c(F)ccc12)c1cccc(Cl)c1,-9.11,9.533
O=C(CSc1nnnn1C1CCCCC1)N1CCN(C(=O)c2ccco2)CC1,-9.1,6.808
CCC(F)(F)C(Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccc(C)o1,-9.77,11.451
COc1cccc2c(=O)c3c(NCc4ccccc4)ccc(C(=O)NCCN(C)C)c3[nH]c12,-9.44,10.239
Cc1nc(-c2cnc(N)nc2C(F)(F)F)cc(C2CCCN(C(=O)c3ccccc3)C2)n1,-10.36,9.046
CNc1nc(NCc2ccccc2)nc(Oc2c(F)c(F)c(F)c(F)c2F)n1,-9.78,7.058
CN(C)C(=S)SCC(=O)Nc1ccc(Cl)cc1Cl,-6.71,4.005
Cc1ccc(-c2cc(C(=O)Nc3cccc(C4(C)NC(=O)NC4=O)c3)c3ccccc3n2)c(C)c1,-12.45,9.177
O=C(NCCCCc1ccccc1)c1ccccc1CNCCc1ccc(F)cc1,-9.23,11.431
O=C(NO)c1ccc(-c2cn(C3CC(CO)N(CCc4ccccc4)C3)nn2)cc1,-10.29,9.182
COc1ccc(S(=O)(=O)NC(CCCNC(=O)NC2CCCCC2)C(=O)NO)cc1,-8.97,13.176
O=C(O)c1c(CN2C(=O)Cc3ccccc32)ccc2c1OCO2,-8.78,4.932
Cc1n[nH]c2cc(Nc3nc(NC4CC4)c4occc4n3)ccc12,-9.14,4.687
Cc1ccc(C2CC(n3cc(C4CC4)nn3)C(O)CN2C(=O)c2cccs2)cc1,-9.12,6.776
CC(C)C1CCN(C(=O)NCC(=O)N(C)CC(F)(F)F)CC1,-7.75,4.944
CN(C)CCCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,-8.76,9.026
CCCCN(CCCC)c1nc(C)nc(C(Cl)(Cl)Cl)n1,-6.56,3.805
CCOC(=O)C1=C(N)Oc2c(c(=O)[nH]c3ccccc23)C1c1cccc(Cl)c1,-9.62,5.57
CCN1C(=O)C(O)(c2c[nH]c3ccccc23)c2cc(Br)ccc21,-8.3,5.596
COc1cc(CNC(=O)CCCCCc2ccccc2)ccc1O,-8.38,7.914
O=C(CSc1ccc(Cl)cc1)NNC(=O)CC1Sc2ccccc2NC1=O,-8.65,7.997
COc1ccc2cc(CN3CC(C)OC(C(N)=O)C3)ccc2c1,-9.11,4.461
CC1CN(C(=O)Cc2cc3ccccc3[nH]c2=O)CC(C)O1,-9.28,4.243
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3nn[nH]n3)cc2)c1C,-10.78,7.269
CC(C)CCOC1CCN(C(=O)Nc2ccc(OC(C)C)cc2)C1,-7.91,6.651
Cc1nc2nc(N)nn2c(C)c1CCC(=O)N1CCN(c2cccc(Cl)c2)CC1,-9.21,8.467
COc1ccc(C=NN(C(=O)c2ccc(Cl)cc2)C(=O)c2cccnc2)cc1,-8.85,5.785
CCOc1ccc(NC(=O)C2CCC(C)(C(=O)O)C2(C)C)cc1,-8.43,6.146
N#Cc1cc2ccc(N3CCOCC3)cc2n2c1nc1ccccc12,-8.97,3.094
CCC(CC)(CNc1nccc(C(F)(F)F)n1)S(C)(=O)=O,-7.48,5.974
CN(CCCl)CCCNc1cccc2c1C(=O)c1ccccc1C2=O,-8.8,6.361
O=C(O)C1CSC(c2cn(-c3ccccc3)nc2-c2ccccc2)N1,-8.74,5.978
COC1CCN(c2nccnc2Oc2ccc(C(=O)c3nc4ccccc4[nH]3)cc2)CC1,-10.35,7.642
CCOC(=O)c1ccc(Nc2cc3ccccc3c(O)n2)cc1,-9.33,5.433
Cc1nc2sc3c(c2c(N)c1C(=O)OCc1ccc(Cl)cc1)CCC1(C3)OCCO1,-9.8,7.723
CCNC(=O)c1coc(-c2ccc(CC(C#N)NC(=O)C3NC4CCC3C4)c(F)c2)c1,-9.89,10.608
