smiles,score,time
COc1ccc(C(=O)NN2C(=O)C3CCC(C)(C2=O)C3(C)C)cc1,-9.48,4.851
N#Cc1ccccc1N1CCN(CCCCN2CC(=O)N3CCCCC3C2=O)CC1,-9.82,10.11
C=CCCC=CC(=O)NCCOc1ccc(CC2SC(=O)NC2=O)cc1,-8.64,8.963
FC(F)(F)c1nnc2n1CCN(c1nc(C3CC3)ns1)C2,-9.0,4.035
N#Cc1cc(-c2c[nH]c3ncccc23)cc(NC2CCC(O)CC2)n1,-10.11,5.691
Cc1ccc(C(=O)CCC(=O)Nc2cc(C(C)C)on2)s1,-9.17,5.973
COC(OC)C(C)NC(=O)NC(=O)c1ccccc1Cl,-7.42,5.211
CC(CC1CCCC1)C(=O)N(C(C)CS(C)(=O)=O)C1CC1,-7.95,6.51
Cn1c(=O)n(CC2CCC(NC(=O)c3cc(Cl)ccc3Cl)CC2)c2ccccc21,-10.02,6.988
O=C(O)Cn1c(=O)c(Sc2ccccc2)nc2ccccc21,-7.74,5.672
COc1ccc(CCNC(=O)NC(=O)c2ccc(Oc3ccccc3)cc2)cc1,-10.83,8.067
CC(=O)NC1C(N=C(N)N)C=C(C(O)O)OC1C(=O)N(C)C,-6.63,6.255
Cc1nc(S(=O)(=O)N2CCC(C)C2C)sc1Br,-7.79,4.025
Cc1cc(O)nc(SCC(=O)NC2CCCc3ccccc32)n1,-8.68,6.815
CC(=O)c1cccc(CN2CCCC(C(=O)Nc3ccc(-c4ccco4)cc3)C2)c1,-10.72,8.809
C=CCc1cc(CNC(C)=O)ccc1OCC(O)CNC(C)C,-7.77,8.61
COc1ccc(NC(=O)CSc2nnc(Cn3nnc4ccccc43)o2)cc1,-9.6,9.813
CCSc1nnc(CNC(=O)C23CC4CC(CC(C4)C2)C3)n1C1CCCCC1,-9.4,8.772
CCOC(=O)CNC(=O)CCc1cccc(I)c1,-7.5,4.911
COc1cc(C)cc2c1C(=O)c1c(O)cc(O)c(Cl)c1C2=O,-7.91,2.928
CN1CCN(c2oc(-c3ccc(COc4ccc(Cl)cc4)o3)nc2C#N)CC1,-9.4,8.162
O=C1c2ccccc2C(=O)c2c(NCCCN(CCCl)CCCl)cccc21,-8.87,8.671
COC(C)CN1CCC2(C)c3cc(O)ccc3CC1C2(C)C,-7.45,3.982
O=C(C1=C(c2ccccc2)CCN1C(=O)c1ccc(Br)cc1)N1CCCCC1,-10.19,6.957
O=C(Nc1ccccc1)Nc1ccc2c(c1)S(=O)(=O)NC2=O,-9.29,4.6
COc1ccc(C(C)NC(=O)C2CCN(CCCc3ccccc3)CC2)cc1OC,-9.86,11.894
CCn1c(=O)c(=O)[nH]c2c(=O)oc3ccc(S(=O)(=O)Nc4ccccc4)cc3c21,-9.22,6.79
O=C(NCc1ccc(C(F)(F)F)cc1)N1CCCC1CN1CCCC1,-9.19,6.455
COCCN=C(S)NNC(=O)CSCc1ccc(Cl)cc1Cl,-7.55,8.362
CN1C(=O)N(c2ccc(Cl)c(Cl)c2)C(=O)C1(C)c1ccc(O)cc1,-9.32,7.141
Cc1ccc(S(C)(=O)=O)cc1C(=O)NC(C)C1CC2CCC1C2,-8.84,4.945
O=C(NC1CCCCC1N1CCCCC1)Oc1ccc(Br)cc1,-8.48,6.538
CCCN(CCC)CCCNC(=O)c1cc2cc3ccc(Cl)cc3nc2o1,-9.07,9.647
CCN(CC)CCNC(=O)c1c(C)[nH]c2c1CCCC2=C1C(=O)Nc2cccc(F)c21,-9.54,7.344
O=C(NCc1ccco1)C(=O)Nc1cc(Cl)ccc1Cl,-8.49,6.17
